景区名称,所在区域,门票旺季,门票淡季,观光车价格,观光车是否强制,索道/缆车,儿童优惠-条件,儿童优惠-比例,老人优惠-条件,老人优惠-比例,军人优惠,其他优惠,游玩时长,开放时间,备注
九寨沟风景区,阿坝州,190元,80元,90元,是,无,1.2米以下,免门票+观光车,70岁以上,免门票（需购观光车）,免门票,,-,1-2天,全年,
黄龙景区,阿坝州,170元,60元,20元,否,上行80元,1.2米或6岁以下,免门票,65岁以上,免门票,免门票,,-,4-6小时,4月-11月,
毕棚沟,阿坝州,80元,60元,60元,是,电瓶车30元/段,1.2米以下,免门票+观光车,65岁以上免/60-64半价,免门票/半价,免门票+车票,,-,半天-1天,4月-11月,
达古冰川,阿坝州,80元,80元,70元,是,150元,1.2米或6岁以下,全免,65岁以上全年免/60-64非节假日免,免门票,,-,半天-1天,全年,
四姑娘山-双桥沟,阿坝州,80元,50元,70元,是,无,1.2米以下,免门票（观光车不免）,65岁以上,免门票（观光车不免）,免门票,学生:淡旺季55/35元,-,4-6小时,7:00-17:30,
四姑娘山-长坪沟,阿坝州,70元,50元,20元,否,往返150元,1.2米以下,免门票,65岁以上,免门票,免门票,,-,1-2天,7:00-17:30,
四姑娘山-海子沟,阿坝州,60元,40元,无,否,无,1.2米以下,免门票,65岁以上,免门票,免门票,,-,1-2天,7:00-17:30,
康定情歌木格措,甘孜州,105元,75元,90元,是,无,1.2米以下,免门票（观光车不免）,65岁以上,免门票（观光车不免）,免门票,,-,3-5小时,7:00-18:00,
海螺沟,甘孜州,90元,60元,70元,是,往返150元,1.2米以下,免门票（观光车不免）,65岁以上,免门票（观光车不免）,免门票,,-,1-2天,7:00-17:30,
稻城亚丁,甘孜州,146元,120元,120元,否,无,1.2米或6周岁以下,免门票,65岁以上（节假日）,免门票,现役/残疾军人免门票,学生/60-64半价,-,2-3天,7:00-18:30,
理塘,甘孜州,免费,免费,35元,否,无,1.2米以下,免费,70岁以上,免费,残疾军人免门票,学生/60-70半价,-,0.5-1天,全天,
色达五明佛学院,甘孜州,免费,免费,30元,否,无,1.2米以下,免交通费,-,-,-,需预约,-,0.5天,需预约,
雅拉雪山,甘孜州,150元,150元,已含,是,无,1.2米以下,免费,60岁以上,免费,退役军人/学生半价,1.2-1.5米半价,-,0.5-1天,8:00-17:30,
墨石公园,甘孜州,60元,60元,20元,是,无,1.2米以下,免票,65岁以上,免票,现役军人/学生半价,,-,2-3小时,8:30-17:30,
塔公草原,甘孜州,10元,10元,无,否,无,-,-,-,-,-,-,1-2小时,全天,
新都桥镇,甘孜州,免费,免费,无,否,无,-,-,-,-,-,-,-,1-2小时,全天,
鱼子西,甘孜州,20-30元,20-30元,60元,否,无,-,-,-,-,-,-,-,2-3小时,6:00-20:30,
若尔盖花湖,阿坝州,75元,75元,30元,是,无,1.2米以下,免门票,65岁及以上,免门票,现役军人免门票,学生半价,-,2-3小时,全天,
黄河九曲第一湾,阿坝州,60元,60元,60元,否,无,1.2米以下,免票,65岁及以上,免票,现役军人/残疾人免门票,学生半价,-,2-3小时,5:30-21:00,
莲宝叶则,阿坝州,120元,60元,15元,否,无,6岁以下或1.2米以下,免门票,70岁以上,免门票,现役/退役军人免门票,学生/60-69半价,-,3-4小时,9:00-18:00,
丹巴甲居藏寨,甘孜州,50元,50元,35元,否,无,6岁以下或1.2米以下,免票,65岁及以上,免票,现役/残疾/退役军人免门票,6-18岁/学生半价,-,2-3小时,全年,
泸定桥,甘孜州,10元,10元,无,否,无,1.2米以下,免票,65岁以上,免票,现役/残疾军人/烈士家属免票,18岁以下半价,-,1-2小时,8:00-19:30,
松潘古城,阿坝州,免费,免费,无,否,无,6岁以下或1.2米以下,免登城墙票,65岁以上,免登城墙票,免登城墙票,学生半价/本地人免票,-,1-2小时,登城墙8:00-18:00,
